stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2025-01-02,159602.XSHE,CN,2021-11-08,南方MSCI中国A50互联互通ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159603.XSHE,CN,2022-06-08,天弘中证科创创业50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159605.XSHE,CN,2021-12-02,广发中证海外中国互联网30(QDII-ETF),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159606.XSHE,CN,2021-12-29,易方达中证500质量成长ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159607.XSHE,CN,2021-12-02,嘉实中证海外中国互联网30ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159608.XSHE,CN,2021-12-23,广发中证稀有金属ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159609.XSHE,CN,2022-07-08,浦银安盛中证光伏产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159610.XSHE,CN,2022-01-10,景顺长城中证500增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159611.XSHE,CN,2022-01-07,广发中证全指电力ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159612.XSHE,CN,2022-05-20,国泰标普500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159613.XSHE,CN,2022-01-27,嘉实中证信息安全主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159615.XSHE,CN,2022-06-28,南方恒生生物科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159616.XSHE,CN,2022-08-08,建信中证农牧主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159617.XSHE,CN,2022-06-30,华夏中证智选500价值稳健策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159618.XSHE,CN,2022-04-22,华安中证光伏产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159619.XSHE,CN,2022-02-18,国泰中证基建ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159620.XSHE,CN,2022-08-05,华夏中证智选500成长创新策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159621.XSHE,CN,2022-09-09,国泰MSCI中国A股ESG通用ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159622.XSHE,CN,2023-05-09,创新药ETF沪港深,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159623.XSHE,CN,2022-09-09,博时成渝经济圈ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159625.XSHE,CN,2022-04-29,嘉实国证绿色电力ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159627.XSHE,CN,2022-11-30,华夏中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159628.XSHE,CN,2022-07-18,万家国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159629.XSHE,CN,2022-08-03,富国中证1000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159630.XSHE,CN,2022-11-01,汇添富中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159631.XSHE,CN,2022-08-26,招商中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159632.XSHE,CN,2022-08-03,华安纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159633.XSHE,CN,2022-08-04,易方达中证1000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159635.XSHE,CN,2022-07-12,华夏中证基建ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159636.XSHE,CN,2022-07-20,港股通科技30ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159637.XSHE,CN,2022-09-01,新能源车龙头ETF,ETF,2999-12-31 00:00:00,XSHE
